TMDB ID,IMDb ID,Data proiezione,Film,Selezionatore,Tema,Anno,Regista/i,Durata,Paese/i di produzione,Link IMDb,Media voti F,Media voti I,Media voti P,Pubblico
309302,tt2909116,3-Jun-2019,L'ultimo lupo,Giulietta,Frontiera,2015,Jean-Jacques Annaud,121,CN,https://www.imdb.com/title/tt2909116,,,,
24559,tt0069280,10-Jun-2019,Mattatoio 5,John,Frontiera,1972,George Roy Hill,100,US,https://www.imdb.com/title/tt0069280,,,,
126314,tt2243299,17-Jun-2019,Final Cut: Ladies and Gentlemen,Vincenzo,-,2012,György Pálfi,84,HU,https://www.imdb.com/title/tt2243299,,,,
408537,tt4562518,7-Oct-2019,Il cittadino illustre,Vincenzo,-,2016,Gastón Duprat; Mariano Cohn,118,AR; ES,https://www.imdb.com/title/tt4562518,,,,
515916,tt8254556,14-Oct-2019,Girl,Daniele,Danze sfrenate,2018,Lukas Dhont,105,BE; NL,https://www.imdb.com/title/tt8254556,,,,
57276,tt1440266,21-Oct-2019,Pina,Jessica,Danze sfrenate,2011,Wim Wenders,106,FR; DE; GB,https://www.imdb.com/title/tt1440266,,,,
71,tt0249462,28-Oct-2019,Billy Elliot,John,Danze sfrenate,2000,Stephen Daldry,110,FR; GB,https://www.imdb.com/title/tt0249462,,,,
37550,tt0075040,4-Nov-2019,Pasqualino Settebellezze,Jolly,Fuori tema,1975,Lina Wertmüller,116,IT,https://www.imdb.com/title/tt0075040,,,,
39452,tt1587707,11-Nov-2019,Exit Through the Gift Shop,Francesco,Quadro,2010,Banksy,87,GB; US,https://www.imdb.com/title/tt1587707,,,,
339877,tt3262342,18-Nov-2019,Loving Vincent,Serena,Quadro,2017,Dorota Kobiela; Hugh Welchman,88,GB; PL,https://www.imdb.com/title/tt3262342,,,,
310131,tt4263482,25-Nov-2019,The Witch,Vincenzo,Quadro,2015,Robert Eggers,87,GB; US,https://www.imdb.com/title/tt4263482,,,,
31522,tt0055572,2-Dic-2019,La donna è donna,Jolly,Fuori tema,1961,Jean-Luc Godard,85,FR; IT,https://www.imdb.com/title/tt0055572,,,,
13777,tt0172543,16-Dic-2019,E morì con un felafel in mano,Giuliano,Dissonanze,2001,Richard Lowenstein,107,AU,https://www.imdb.com/title/tt0172543,,,,
